index,state
0,holding
1,holding
2,holding
3,holding
4,holding
5,holding
6,holding
7,holding
8,holding
9,holding
10,holding
11,holding
12,holding
13,holding
14,holding
15,holding
16,holding
17,holding
18,holding
19,holding
20,holding
21,holding
22,holding
23,holding
24,holding
25,holding
26,holding
27,holding
28,holding
29,holding
30,holding
31,holding
32,holding
33,holding
34,holding
35,holding
36,holding
37,holding
38,holding
39,holding
40,holding
41,holding
42,holding
43,holding
44,holding
45,holding
46,holding
47,holding
48,holding
49,holding
50,holding
51,holding
52,holding
53,holding
54,holding
55,holding
56,holding
57,holding
58,holding
59,holding
60,holding
61,holding
62,holding
63,falling
64,falling
65,falling
66,falling
67,falling
68,falling
69,falling
70,falling
71,falling
72,falling
73,falling
74,falling
75,falling
76,falling
77,falling
78,falling
79,falling
80,falling
81,falling
82,falling
83,falling
84,falling
85,falling
86,falling
87,falling
88,falling
89,falling
90,falling
91,falling
92,falling
93,falling
94,falling
95,falling
96,falling
97,falling
98,falling
99,falling
100,falling
101,falling
102,falling
103,falling
104,falling
105,falling
106,falling
107,falling
108,falling
109,falling
110,falling
111,falling
112,falling
113,falling
114,falling
115,falling
116,falling
117,falling
118,falling
119,falling
120,falling
121,falling
122,falling
123,falling
124,falling
125,falling
126,falling
127,falling
128,falling
129,falling
130,falling
131,falling
132,falling
133,falling
134,falling
135,falling
136,falling
137,falling
138,falling
139,falling
140,falling
141,falling
142,falling
143,falling
144,falling
145,falling
146,falling
147,falling
148,falling
149,falling
150,falling
151,falling
152,falling
153,falling
154,falling
155,falling
156,falling
157,falling
158,falling
159,falling
160,falling
161,falling
162,falling
163,falling
164,falling
165,falling
166,falling
167,falling
168,falling
169,falling
170,falling
171,holding
172,holding
173,holding
174,holding
175,holding
176,holding
177,holding
178,holding
179,holding
180,holding
181,holding
182,holding
183,holding
184,holding
185,holding
186,holding
187,holding
188,holding
189,holding
190,holding
191,holding
192,holding
193,holding
194,holding
195,holding
196,holding
197,holding
198,holding
199,holding
200,holding
201,holding
202,holding
203,holding
204,holding
205,holding
206,holding
207,holding
208,holding
209,holding
210,holding
211,holding
212,holding
213,holding
214,holding
215,holding
216,holding
217,holding
218,holding
219,holding
220,holding
221,holding
222,holding
223,holding
224,holding
225,holding
226,holding
227,holding
228,holding
229,holding
230,holding
231,holding
232,holding
233,holding
234,holding
235,holding
236,holding
237,holding
238,holding
239,holding
240,holding
241,holding
242,holding
243,holding
244,holding
245,holding
246,holding
247,holding
248,holding
249,holding
250,holding
251,holding
252,holding
253,holding
254,holding
255,holding
256,holding
257,holding
258,holding
259,holding
260,holding
261,holding
262,holding
263,holding
264,holding
265,holding
266,holding
267,holding
268,holding
269,holding
270,holding
271,holding
272,holding
273,holding
274,holding
275,holding
276,holding
277,holding
278,holding
279,holding
280,holding
281,holding
282,holding
283,holding
284,holding
285,holding
286,holding
287,holding
288,holding
289,holding
290,holding
291,holding
292,holding
293,holding
294,holding
295,holding
296,holding
297,holding
298,holding
299,holding
300,holding
301,holding
302,holding
303,holding
304,holding
305,holding
306,holding
307,holding
308,holding
309,holding
310,holding
311,holding
312,holding
313,holding
314,holding
315,holding
316,holding
317,holding
318,holding
319,holding
320,holding
321,holding
322,holding
323,holding
324,holding
325,holding
326,holding
327,holding
328,holding
329,holding
330,holding
331,holding
332,holding
333,holding
334,holding
335,holding
336,holding
337,holding
338,holding
339,holding
340,holding
341,holding
342,holding
343,holding
344,holding
345,holding
346,holding
347,holding
348,holding
349,holding
350,holding
351,holding
352,holding
353,holding
354,holding
355,holding
356,holding
357,holding
358,holding
359,holding
360,holding
361,holding
362,holding
363,holding
364,holding
365,holding
366,holding
367,holding
368,holding
369,holding
370,holding
371,holding
372,holding
373,holding
374,holding
375,holding
376,holding
377,holding
378,holding
379,holding
380,holding
381,holding
382,holding
383,holding
384,holding
385,holding
386,holding
387,holding
388,holding
389,holding
390,holding
391,holding
392,holding
393,holding
394,holding
395,holding
396,holding
397,holding
398,holding
399,holding
400,holding
401,holding
402,holding
403,holding
404,holding
405,holding
406,holding
407,holding
408,holding
409,holding
410,holding
411,holding
412,holding
413,holding
414,holding
415,holding
416,holding
417,holding
418,holding
419,holding
420,holding
421,holding
422,holding
423,holding
424,holding
425,holding
426,holding
427,holding
428,holding
429,holding
430,holding
431,holding
432,holding
433,holding
434,holding
435,holding
436,holding
437,holding
438,holding
439,holding
440,holding
441,holding
442,holding
443,holding
444,holding
445,holding
446,holding
447,holding
448,holding
449,holding
450,holding
451,holding
452,holding
453,holding
454,holding
455,holding
456,holding
457,holding
458,holding
459,holding
460,holding
461,holding
462,holding
463,holding
464,holding
465,holding
466,holding
467,holding
468,holding
469,holding
470,holding
471,holding
472,holding
473,holding
474,holding
475,holding
476,holding
477,holding
478,holding
479,holding
480,holding
481,holding
482,holding
483,holding
484,holding
485,holding
486,holding
487,holding
488,holding
489,holding
490,holding
491,holding
492,holding
493,holding
494,holding
495,holding
496,holding
497,holding
498,holding
499,holding
500,holding
501,holding
502,holding
503,holding
504,holding
505,holding
506,holding
507,holding
508,holding
509,holding
510,holding
511,holding
512,holding
513,holding
514,holding
515,holding
516,holding
517,holding
518,holding
519,holding
520,holding
521,holding
522,holding
523,holding
524,holding
525,holding
526,holding
527,holding
528,holding
529,holding
530,holding
531,holding
532,holding
533,holding
534,holding
535,holding
536,holding
537,holding
538,holding
539,holding
540,holding
541,holding
542,holding
543,holding
544,holding
545,holding
546,holding
547,holding
548,holding
549,holding
550,holding
551,holding
552,holding
553,holding
554,holding
555,holding
556,holding
557,holding
558,holding
559,holding
560,holding
561,holding
562,holding
563,holding
564,holding
565,holding
566,holding
567,holding
568,holding
569,holding
570,holding
571,holding
572,holding
573,holding
574,holding
575,holding
576,holding
577,holding
578,holding
579,holding
580,holding
581,holding
582,holding
583,holding
584,holding
585,holding
586,holding
587,holding
588,holding
589,holding
590,holding
591,holding
592,holding
593,holding
594,holding
595,holding
596,holding
597,holding
598,holding
599,holding
600,holding
601,holding
602,holding
603,holding
604,holding
605,holding
606,holding
607,holding
608,holding
609,holding
610,holding
611,holding
612,holding
613,holding
614,holding
615,holding
616,holding
617,holding
618,holding
619,holding
620,holding
621,holding
622,holding
623,holding
624,holding
625,holding
626,holding
627,holding
628,holding
629,holding
630,holding
631,holding
632,holding
633,holding
634,holding
635,holding
636,holding
637,holding
638,holding
639,holding
640,holding
641,holding
642,holding
643,holding
644,holding
645,holding
646,holding
647,holding
648,holding
649,holding
650,holding
651,holding
652,holding
653,holding
654,holding
655,holding
656,holding
657,holding
658,holding
659,holding
660,holding
661,holding
662,holding
663,holding
664,holding
665,holding
666,holding
667,holding
668,holding
669,holding
670,holding
671,holding
672,holding
673,holding
674,holding
675,holding
676,holding
677,holding
678,holding
679,holding
680,holding
681,holding
682,holding
683,holding
684,holding
685,holding
686,holding
687,holding
688,holding
689,holding
690,holding
691,holding
692,holding
693,holding
694,holding
695,holding
696,holding
697,holding
698,holding
699,holding
700,holding
701,holding
702,holding
703,holding
704,holding
705,holding
706,holding
707,holding
708,holding
709,holding
710,holding
711,holding
712,holding
713,holding
714,holding
715,holding
716,holding
717,holding
718,holding
719,holding
720,holding
721,holding
722,holding
723,holding
724,holding
725,holding
726,holding
727,holding
728,holding
729,holding
730,holding
731,holding
732,holding
733,holding
734,holding
735,holding
736,holding
737,holding
738,holding
739,holding
740,holding
741,holding
742,holding
743,holding
744,holding
745,holding
746,holding
747,holding
748,holding
749,holding
750,holding
751,holding
752,holding
753,holding
754,holding
755,holding
756,holding
757,holding
758,holding
759,holding
760,holding
761,holding
762,holding
763,holding
764,holding
765,holding
766,holding
767,holding
768,holding
769,holding
770,holding
771,holding
772,holding
773,holding
774,holding
775,holding
776,holding
777,holding
778,holding
779,holding
780,holding
781,holding
782,holding
783,holding
784,holding
785,holding
786,holding
787,holding
788,holding
789,holding
790,holding
791,holding
792,holding
793,holding
794,holding
795,holding
796,holding
797,holding
798,holding
799,holding
800,holding
801,holding
802,holding
803,holding
804,holding
805,holding
806,holding
807,holding
808,holding
809,holding
810,holding
811,holding
812,holding
813,holding
814,holding
815,holding
816,holding
817,holding
818,holding
819,holding
820,holding
821,holding
822,holding
823,holding
824,holding
825,holding
826,holding
827,holding
828,holding
829,holding
830,holding
831,holding
832,holding
833,holding
834,holding
835,holding
836,holding
837,holding
838,holding
839,holding
840,holding
841,holding
842,holding
843,holding
844,holding
845,holding
846,holding
847,holding
848,holding
849,holding
850,holding
851,holding
852,holding
853,holding
854,holding
855,holding
856,holding
857,holding
858,holding
859,holding
860,holding
861,holding
862,holding
863,holding
864,holding
865,holding
866,holding
867,holding
868,holding
869,holding
870,holding
871,holding
872,holding
873,holding
874,holding
875,holding
876,holding
877,holding
878,holding
879,holding
880,holding
881,holding
882,holding
883,holding
884,holding
885,holding
886,rising
887,rising
888,rising
889,rising
890,rising
891,rising
892,rising
893,rising
894,rising
895,rising
896,rising
897,rising
898,rising
899,rising
900,rising
901,rising
902,rising
903,rising
904,rising
905,rising
906,rising
907,rising
908,rising
909,rising
910,rising
911,rising
912,rising
913,rising
914,rising
915,rising
916,rising
917,rising
918,rising
919,rising
920,rising
921,rising
922,rising
923,rising
924,rising
925,rising
926,rising
927,rising
928,rising
929,rising
930,rising
931,rising
932,rising
933,rising
934,rising
935,rising
936,rising
937,rising
938,rising
939,rising
940,rising
941,rising
942,rising
943,rising
944,rising
945,rising
946,rising
947,rising
948,rising
949,rising
950,rising
951,rising
952,rising
953,rising
954,rising
955,rising
956,rising
957,rising
958,rising
959,rising
960,rising
961,rising
962,rising
963,rising
964,rising
965,rising
966,rising
967,rising
968,rising
969,rising
970,rising
971,rising
972,rising
973,rising
974,rising
975,rising
976,rising
977,rising
978,rising
979,rising
980,rising
981,rising
982,rising
983,rising
984,rising
985,rising
986,rising
987,rising
988,rising
989,rising
990,rising
991,rising
992,rising
993,rising
994,rising
995,rising
996,rising
997,rising
998,rising
999,rising
1000,rising
1001,rising
1002,rising
1003,rising
1004,rising
1005,rising
1006,rising
1007,rising
1008,rising
1009,rising
1010,rising
1011,rising
1012,rising
1013,rising
1014,rising
1015,rising
1016,rising
1017,rising
1018,rising
1019,rising
1020,rising
1021,rising
1022,rising
1023,rising
1024,rising
1025,rising
1026,rising
1027,rising
1028,rising
1029,rising
1030,rising
1031,rising
1032,rising
1033,rising
1034,rising
1035,rising
1036,rising
1037,rising
1038,rising
1039,rising
1040,rising
1041,rising
1042,rising
1043,rising
1044,rising
1045,rising
1046,rising
1047,rising
1048,rising
1049,rising
1050,rising
1051,rising
1052,rising
1053,rising
1054,rising
1055,rising
1056,rising
1057,rising
1058,rising
1059,rising
1060,rising
1061,rising
1062,rising
1063,rising
1064,rising
1065,rising
1066,rising
1067,rising
1068,rising
1069,rising
1070,rising
1071,rising
1072,rising
1073,rising
1074,rising
1075,rising
1076,rising
1077,rising
1078,rising
1079,rising
1080,rising
1081,rising
1082,rising
1083,rising
1084,rising
1085,rising
1086,rising
1087,rising
1088,rising
1089,rising
1090,rising
1091,rising
1092,rising
1093,rising
1094,rising
1095,rising
1096,rising
1097,rising
1098,rising
1099,rising
1100,rising
1101,rising
1102,rising
1103,rising
1104,rising
1105,rising
1106,rising
1107,rising
1108,rising
1109,rising
1110,rising
1111,rising
1112,rising
1113,rising
1114,rising
1115,rising
1116,rising
1117,rising
1118,rising
1119,rising
1120,rising
1121,rising
1122,rising
1123,rising
1124,rising
1125,rising
1126,rising
1127,rising
1128,rising
1129,rising
1130,rising
1131,rising
1132,rising
1133,rising
1134,rising
1135,rising
1136,rising
1137,rising
1138,rising
1139,rising
1140,rising
1141,rising
1142,rising
1143,rising
1144,rising
1145,rising
1146,rising
1147,rising
1148,rising
1149,rising
1150,rising
1151,rising
1152,rising
1153,rising
1154,rising
1155,rising
1156,rising
1157,rising
