index,state
0,holding
1,holding
2,holding
3,holding
4,holding
5,holding
6,holding
7,holding
8,holding
9,holding
10,holding
11,holding
12,holding
13,holding
14,holding
15,holding
16,holding
17,holding
18,holding
19,holding
20,holding
21,holding
22,holding
23,holding
24,holding
25,holding
26,holding
27,holding
28,holding
29,holding
30,holding
31,holding
32,holding
33,holding
34,holding
35,holding
36,holding
37,holding
38,holding
39,holding
40,holding
41,holding
42,holding
43,holding
44,holding
45,holding
46,holding
47,holding
48,holding
49,holding
50,holding
51,holding
52,holding
53,holding
54,holding
55,holding
56,holding
57,holding
58,holding
59,holding
60,holding
61,holding
62,holding
63,holding
64,holding
65,holding
66,holding
67,holding
68,holding
69,holding
70,holding
71,holding
72,holding
73,holding
74,holding
75,holding
76,holding
77,holding
78,holding
79,holding
80,holding
81,holding
82,holding
83,holding
84,holding
85,holding
86,holding
87,holding
88,holding
89,holding
90,holding
91,holding
92,holding
93,holding
94,holding
95,holding
96,holding
97,holding
98,holding
99,holding
100,holding
101,holding
102,holding
103,holding
104,holding
105,holding
106,holding
107,holding
108,holding
109,holding
110,holding
111,holding
112,holding
113,holding
114,holding
115,holding
116,holding
117,holding
118,holding
119,holding
120,holding
121,holding
122,holding
123,holding
124,holding
125,holding
126,holding
127,holding
128,holding
129,holding
130,holding
131,holding
132,holding
133,holding
134,holding
135,holding
136,holding
137,holding
138,holding
139,holding
140,holding
141,holding
142,falling
143,falling
144,falling
145,falling
146,falling
147,falling
148,falling
149,falling
150,falling
151,falling
152,falling
153,falling
154,falling
155,falling
156,falling
157,falling
158,falling
159,falling
160,falling
161,falling
162,falling
163,falling
164,falling
165,falling
166,falling
167,falling
168,falling
169,falling
170,falling
171,falling
172,falling
173,falling
174,falling
175,falling
176,falling
177,falling
178,falling
179,falling
180,falling
181,falling
182,falling
183,falling
184,falling
185,falling
186,falling
187,falling
188,falling
189,falling
190,falling
191,falling
192,falling
193,falling
194,falling
195,falling
196,falling
197,falling
198,falling
199,falling
200,falling
201,falling
202,falling
203,falling
204,falling
205,falling
206,falling
207,falling
208,falling
209,falling
210,falling
211,falling
212,falling
213,falling
214,falling
215,falling
216,falling
217,falling
218,falling
219,falling
220,falling
221,falling
222,falling
223,falling
224,falling
225,falling
226,falling
227,falling
228,falling
229,falling
230,falling
231,falling
232,falling
233,falling
234,falling
235,falling
236,falling
237,falling
238,falling
239,falling
240,falling
241,falling
242,falling
243,falling
244,falling
245,falling
246,falling
247,falling
248,falling
249,falling
250,falling
251,falling
252,falling
253,falling
254,falling
255,falling
256,falling
257,falling
258,falling
259,falling
260,falling
261,falling
262,falling
263,falling
264,falling
265,falling
266,falling
267,falling
268,falling
269,falling
270,falling
271,falling
272,falling
273,falling
274,falling
275,falling
276,falling
277,falling
278,falling
279,falling
280,falling
281,falling
282,falling
283,falling
284,falling
285,falling
286,falling
287,falling
288,falling
289,falling
290,falling
291,falling
292,falling
293,falling
294,falling
295,falling
296,falling
297,falling
298,falling
299,falling
300,falling
301,falling
302,falling
303,falling
304,falling
305,falling
306,falling
307,falling
308,falling
309,falling
310,falling
311,falling
312,falling
313,falling
314,falling
315,falling
316,falling
317,falling
318,falling
319,falling
320,falling
321,falling
322,falling
323,falling
324,falling
325,falling
326,falling
327,falling
328,falling
329,falling
330,falling
331,falling
332,falling
333,falling
334,falling
335,falling
336,falling
337,falling
338,falling
339,falling
340,falling
341,falling
342,falling
343,falling
344,falling
345,falling
346,falling
347,falling
348,falling
349,falling
350,falling
351,falling
352,falling
353,falling
354,falling
355,falling
356,falling
357,falling
358,falling
359,falling
360,falling
361,falling
362,falling
363,falling
364,falling
365,falling
366,falling
367,falling
368,falling
369,falling
370,falling
371,falling
372,falling
373,falling
374,falling
375,falling
376,falling
377,falling
378,falling
379,falling
380,falling
381,falling
382,falling
383,falling
384,falling
385,falling
386,falling
387,falling
388,falling
389,falling
390,falling
391,falling
392,falling
393,falling
394,falling
395,falling
396,falling
397,falling
398,falling
399,falling
400,falling
401,falling
402,falling
403,falling
404,falling
405,falling
406,falling
407,falling
408,falling
409,falling
410,falling
411,falling
412,falling
413,falling
414,falling
415,falling
416,falling
417,falling
418,falling
419,falling
420,falling
421,falling
422,falling
423,falling
424,falling
425,falling
426,falling
427,falling
428,falling
429,falling
430,falling
431,falling
432,falling
433,falling
434,falling
435,falling
436,falling
437,falling
438,falling
439,falling
440,falling
441,falling
442,falling
443,falling
444,falling
445,falling
446,falling
447,falling
448,falling
449,falling
450,falling
451,falling
452,falling
453,falling
454,falling
455,falling
456,falling
457,falling
458,falling
459,falling
460,falling
461,falling
462,falling
463,falling
464,falling
465,falling
466,falling
467,falling
468,falling
469,falling
470,falling
471,falling
472,falling
473,falling
474,falling
475,falling
476,falling
477,falling
478,falling
479,falling
480,falling
481,falling
482,falling
483,falling
484,falling
485,falling
486,falling
487,falling
488,falling
489,falling
490,falling
491,falling
492,falling
493,falling
494,falling
495,falling
496,falling
497,falling
498,falling
499,falling
500,falling
501,falling
502,falling
503,falling
504,falling
505,falling
506,falling
507,falling
508,falling
509,falling
510,falling
511,falling
512,falling
513,falling
514,falling
515,falling
516,falling
517,falling
518,falling
519,falling
520,falling
521,falling
522,falling
523,falling
524,falling
525,falling
526,falling
527,falling
528,falling
529,falling
530,falling
531,falling
532,falling
533,falling
534,falling
535,falling
536,falling
537,falling
538,falling
539,falling
540,falling
541,falling
542,falling
543,falling
544,falling
545,falling
546,falling
547,falling
548,falling
549,falling
550,falling
551,falling
552,falling
553,falling
554,falling
555,falling
556,falling
557,falling
558,falling
559,falling
560,falling
561,falling
562,falling
563,falling
564,falling
565,falling
566,falling
567,falling
568,falling
569,falling
570,falling
571,falling
572,falling
573,falling
574,falling
575,falling
576,falling
577,falling
578,falling
579,falling
580,falling
581,falling
582,falling
583,falling
584,falling
585,falling
586,falling
587,falling
588,falling
589,falling
590,falling
591,falling
592,falling
593,falling
594,falling
595,falling
596,falling
597,falling
598,falling
599,falling
600,falling
601,falling
602,falling
603,falling
604,falling
605,falling
606,falling
607,falling
608,falling
609,falling
610,falling
611,falling
612,falling
613,holding
614,falling
615,falling
616,falling
617,holding
618,holding
619,holding
620,holding
621,holding
622,holding
623,holding
624,holding
625,holding
626,holding
627,holding
628,holding
629,holding
630,holding
631,holding
632,holding
633,holding
634,holding
635,holding
636,holding
637,holding
638,holding
639,holding
640,holding
641,holding
642,holding
643,holding
644,holding
645,holding
646,holding
647,holding
648,holding
649,holding
650,holding
651,holding
652,holding
653,holding
654,holding
655,holding
656,holding
657,holding
658,holding
659,holding
660,holding
661,holding
662,holding
663,holding
664,holding
665,holding
666,holding
667,holding
668,holding
669,holding
670,holding
671,holding
672,holding
673,holding
674,holding
675,holding
676,holding
677,holding
678,holding
679,holding
680,holding
681,holding
682,holding
683,holding
684,holding
685,holding
686,holding
687,holding
688,holding
689,holding
690,holding
691,holding
692,holding
693,holding
694,holding
695,holding
696,holding
697,holding
698,holding
699,holding
700,holding
701,holding
702,holding
703,holding
704,holding
705,holding
706,holding
707,holding
708,holding
709,holding
710,holding
711,holding
712,holding
713,holding
714,holding
715,holding
716,holding
717,holding
718,holding
719,holding
720,holding
721,holding
722,holding
723,holding
724,holding
725,holding
726,holding
727,holding
728,holding
729,holding
730,holding
731,holding
732,holding
733,holding
734,holding
735,holding
736,holding
737,holding
738,holding
739,holding
740,holding
741,holding
742,holding
743,holding
744,holding
745,holding
746,holding
747,holding
748,holding
749,holding
750,holding
751,holding
752,holding
753,holding
754,holding
755,holding
756,holding
757,holding
758,holding
759,holding
760,holding
761,holding
762,holding
763,holding
764,holding
765,holding
766,holding
767,holding
768,holding
769,holding
770,holding
771,holding
772,holding
773,holding
774,holding
775,holding
776,holding
777,holding
778,holding
779,holding
780,holding
781,holding
782,holding
783,holding
784,holding
785,holding
786,holding
787,holding
788,holding
789,holding
790,holding
791,holding
792,holding
793,holding
794,holding
795,holding
796,holding
797,holding
798,holding
799,holding
800,holding
801,holding
802,holding
803,holding
804,holding
805,holding
806,holding
807,holding
808,holding
809,holding
810,holding
811,holding
812,holding
813,holding
814,holding
815,holding
816,holding
817,holding
818,holding
819,holding
820,holding
821,holding
822,holding
823,holding
824,holding
825,holding
826,holding
827,holding
828,holding
829,holding
830,holding
831,holding
832,holding
833,holding
834,holding
835,holding
836,holding
837,holding
838,holding
839,holding
840,holding
841,holding
842,holding
843,holding
844,holding
845,holding
846,holding
847,holding
848,holding
849,holding
850,holding
851,holding
852,holding
853,holding
854,holding
855,holding
856,holding
857,holding
858,holding
859,holding
860,holding
861,holding
862,holding
863,holding
864,holding
865,holding
866,holding
867,holding
868,holding
869,holding
870,holding
871,holding
872,holding
873,holding
874,holding
875,holding
876,holding
877,holding
878,holding
879,holding
880,holding
881,holding
882,holding
883,holding
884,holding
885,holding
886,holding
887,holding
888,holding
889,holding
890,holding
891,holding
892,holding
893,holding
894,holding
895,holding
896,holding
897,holding
898,holding
899,holding
900,holding
901,holding
902,holding
903,holding
904,holding
905,holding
906,holding
907,holding
908,holding
909,holding
910,holding
911,holding
912,holding
913,holding
914,holding
915,holding
916,holding
917,holding
918,holding
919,holding
920,holding
921,holding
922,holding
923,holding
924,holding
925,holding
926,holding
927,holding
928,holding
929,holding
930,holding
931,holding
932,holding
933,holding
934,holding
935,holding
936,holding
937,holding
938,holding
939,holding
940,holding
941,holding
942,holding
943,holding
944,holding
945,holding
946,holding
947,holding
948,holding
949,holding
950,holding
951,holding
952,holding
953,holding
954,holding
955,holding
956,holding
957,holding
958,holding
959,holding
960,holding
961,holding
962,holding
963,holding
964,holding
965,holding
966,holding
967,holding
968,holding
969,holding
970,holding
971,holding
972,holding
973,holding
974,holding
975,holding
976,holding
977,holding
978,holding
979,holding
980,holding
981,holding
982,holding
983,holding
984,holding
985,holding
986,holding
987,holding
988,holding
989,holding
990,holding
991,holding
992,holding
993,holding
994,holding
995,holding
996,holding
997,holding
998,holding
999,holding
1000,holding
1001,holding
1002,rising
1003,rising
1004,rising
1005,rising
1006,rising
1007,rising
1008,rising
1009,rising
1010,rising
1011,rising
1012,rising
1013,rising
1014,rising
1015,rising
1016,rising
1017,rising
1018,rising
1019,rising
1020,rising
1021,rising
1022,rising
1023,rising
1024,rising
1025,rising
1026,rising
1027,rising
1028,rising
1029,rising
1030,rising
1031,rising
1032,rising
1033,rising
1034,rising
1035,rising
1036,rising
1037,rising
1038,rising
1039,rising
1040,rising
1041,rising
1042,rising
1043,rising
1044,rising
1045,rising
1046,rising
1047,rising
1048,rising
1049,rising
1050,rising
1051,rising
1052,rising
1053,rising
1054,rising
1055,rising
1056,rising
1057,rising
1058,rising
1059,rising
1060,rising
1061,rising
1062,rising
1063,rising
1064,rising
1065,rising
1066,rising
1067,rising
1068,rising
1069,rising
1070,rising
1071,rising
1072,rising
1073,rising
1074,rising
1075,rising
1076,rising
1077,rising
1078,rising
1079,rising
1080,rising
1081,rising
1082,rising
1083,rising
1084,rising
1085,rising
1086,rising
1087,rising
1088,rising
1089,rising
1090,rising
1091,rising
1092,rising
1093,rising
1094,rising
1095,rising
1096,rising
1097,rising
1098,rising
1099,rising
1100,rising
1101,rising
1102,rising
1103,rising
1104,rising
1105,rising
1106,rising
1107,rising
1108,rising
1109,rising
1110,rising
1111,rising
1112,rising
1113,rising
1114,rising
1115,rising
1116,rising
1117,rising
1118,rising
1119,rising
1120,rising
1121,rising
1122,rising
1123,rising
1124,rising
1125,rising
1126,rising
1127,rising
1128,rising
1129,rising
1130,rising
1131,rising
1132,rising
1133,rising
1134,rising
1135,rising
1136,rising
1137,rising
1138,rising
1139,rising
1140,rising
1141,rising
1142,rising
1143,rising
1144,rising
1145,rising
1146,rising
1147,rising
1148,rising
1149,rising
1150,rising
1151,rising
1152,rising
1153,rising
1154,rising
1155,rising
1156,rising
1157,rising
