name,kind,raw_start,raw_end,trim_start,trim_end,N,mean,std
Clean(1),low,171,885,401,655,255,0.007620915317647057,0.001166421232203429
Clean(1),high,1177,1841,1407,1611,205,0.12622763853658536,0.0022499556019209576
Clean(1),low,2174,2886,2404,2656,253,0.007621871181818182,0.0011780296000356246
Clean(1),high,3173,3845,3403,3615,213,0.12654146995305166,0.001700894530838502
Clean(1),low,4170,4886,4400,4656,257,0.007587548863813228,0.0012304930448448711
Clean(1),high,5172,5843,5402,5613,212,0.1263993674528302,0.0019691792606311006
Clean(1),low,6170,6885,6400,6655,256,0.00753255242578125,0.0011711033766011194
Clean(1),high,7175,7845,7405,7615,211,0.12633491137440758,0.0017504317037488385
Clean(1),low,8167,8886,8397,8656,260,0.007467948957692307,0.0012972253141136808
Clean(1),high,9172,9843,9402,9613,212,0.1264937103773585,0.0017985595315993777
