file,seg_start,seg_end,seg_length,trim_ratio,max_trim,trim_applied,trim_start,trim_end,trim_length,mean,std,dyn_range,std_pct_of_range,kept
Clean(1),0,62,63,0.32,255,20,20,42,23,0.03775362304347827,0.0018537899315295451,0.125000001,1.4830319333593807,True
Clean(1),171,885,715,0.32,255,229,400,656,257,0.007619974330739299,0.001182730200057492,0.125000001,0.9461841524765204,True
Clean(1),1177,1841,665,0.32,255,213,1390,1628,239,0.12633890920502094,0.00255142889665866,0.125000001,2.0411431009977834,True
Clean(1),2174,2886,713,0.32,255,228,2402,2658,257,0.007632944517509728,0.0011904867532251846,0.125000001,0.9523893949610325,True
Clean(1),3173,3845,673,0.32,255,215,3388,3630,243,0.12657064197530865,0.002013481221677764,0.125000001,1.6107849644559316,True
Clean(1),4170,4886,717,0.32,255,229,4399,4657,259,0.007586872799227798,0.0012453450829413165,0.125000001,0.9962760583828447,True
Clean(1),5172,5843,672,0.32,255,215,5387,5628,242,0.12654269669421486,0.002238291526681068,0.125000001,1.7906332070197886,True
Clean(1),6170,6885,716,0.32,255,229,6399,6656,258,0.0075387600271317814,0.0011778703609515043,0.125000001,0.9422962812228332,True
Clean(1),7175,7845,671,0.32,255,215,7390,7630,241,0.12628630290456433,0.0019615740885701636,0.125000001,1.5692592583020568,True
Clean(1),8167,8886,720,0.32,255,230,8397,8656,260,0.007467948957692307,0.0012972253141136808,0.125000001,1.0377802429887026,True
Clean(1),9172,9843,672,0.32,255,215,9387,9628,242,0.12652892396694213,0.0020323214378658457,0.125000001,1.6258571372858195,True
Clean(1),9978,9999,22,0.32,255,7,9985,9992,8,0.0504166675,0.0011785136590001814,0.125000001,0.9428109196576578,True
Clean(2),0,61,62,0.32,255,20,20,41,22,0.04113636045454545,0.0020820699834710687,0.13333330499999999,1.5615528194332757,True
Clean(2),170,889,720,0.32,255,230,400,659,260,0.0076410224,0.0013388659789639334,0.13333330499999999,1.004149697604761,True
Clean(2),1172,1849,678,0.32,255,217,1389,1632,244,0.13337432049180326,0.002143282253733008,0.13333330499999999,1.6074620318854378,True
Clean(2),2169,2889,721,0.32,255,231,2400,2658,259,0.007805659463320464,0.0011741114750014328,0.13333330499999999,0.8805837933751307,True
Clean(2),3170,3849,680,0.32,255,218,3388,3631,244,0.133770493852459,0.002417388041999032,0.13333330499999999,1.8130414167705753,True
Clean(2),4169,4890,722,0.32,255,231,4400,4659,260,0.007769227492307693,0.0013026365180014128,0.13333330499999999,0.9769775961087989,True
Clean(2),5174,5850,677,0.32,255,217,5391,5633,243,0.13320302098765432,0.002194394821525862,0.13333330499999999,1.6457964658761457,True
Clean(2),6168,6890,723,0.32,255,231,6399,6659,261,0.007924645597701152,0.0013086927372331911,0.13333330499999999,0.9815197614978427,True
Clean(2),7172,7849,678,0.32,255,217,7389,7632,244,0.13355191598360658,0.0023998108721842567,0.13333330499999999,1.7998585366081319,True
Clean(2),8169,8888,720,0.32,255,230,8399,8658,260,0.007807689161538462,0.0013508283266707437,0.13333330499999999,1.0131214602913683,True
Clean(2),9172,9850,679,0.32,255,217,9389,9633,245,0.1334557836734694,0.0020817690348169087,0.13333330499999999,1.5613271078946922,True
Clean(2),9977,9999,23,0.32,255,7,9984,9992,9,0.05592592222222222,0.0008784069475160387,0.13333330499999999,0.6588053506331661,True
Nothing(1),0,45,46,0.32,255,15,15,30,16,0.231625,0.01601613769504579,0.92667,1.7283539658180143,True
Nothing(1),122,901,780,0.32,255,250,372,651,280,-0.0015007500000000003,0.003634163436050767,0.92667,0.39217449966555157,True
Nothing(1),1138,1886,749,0.32,255,240,1378,1646,269,0.9196096654275093,0.0029052287331845653,0.92667,0.31351276432652025,True
Nothing(1),2122,2901,780,0.32,255,250,2372,2651,280,-0.001405464285714286,0.004044169722481937,0.92667,0.4364196232188306,True
Nothing(1),3137,3885,749,0.32,255,240,3377,3645,269,0.9205464684014871,0.0029426541127938566,0.92667,0.3175514598286182,True
Nothing(1),4122,4901,780,0.32,255,250,4372,4651,280,-0.0008575714285714285,0.003466786571836319,0.92667,0.3741123131035125,True
Nothing(1),5137,5885,749,0.32,255,240,5377,5645,269,0.9204684014869888,0.003334006941499665,0.92667,0.35978362755885757,True
Nothing(1),6122,6901,780,0.32,255,250,6372,6651,280,-0.0017389642857142855,0.0037024720017106274,0.92667,0.3995459010986249,True
Nothing(1),7137,7885,749,0.32,255,240,7377,7645,269,0.9204944237918217,0.0030131810159125414,0.92667,0.3251622493349889,True
Nothing(1),8122,8901,780,0.32,255,250,8372,8651,280,-0.0015960357142857143,0.003457492772388881,0.92667,0.3731093887132292,True
Nothing(1),9137,9886,750,0.32,255,240,9377,9646,270,0.9203111111111112,0.0030618571196360045,0.92667,0.330415047388607,True
Nothing(1),9978,9999,22,0.32,255,7,9985,9992,8,0.40249999999999997,0.017904508610163763,0.92667,1.9321342668008852,True
Nothing(2),0,46,47,0.32,255,15,15,31,17,0.22588235294117645,0.01788813277336813,0.91967,1.9450599425193962,True
Nothing(2),122,901,780,0.32,255,250,372,651,280,-0.00150075,0.003634163436050767,0.91967,0.3951595067851258,True
Nothing(2),1137,1885,749,0.32,255,240,1377,1645,269,0.9135873605947955,0.0030032302422796264,0.91967,0.32655520374478086,True
Nothing(2),2121,2901,781,0.32,255,250,2371,2651,281,-0.0018989323843416372,0.0035479357578513684,0.91967,0.3857835699600257,True
Nothing(2),3136,3885,750,0.32,255,240,3376,3645,270,0.9134666666666668,0.0026682770849802114,0.91967,0.2901341878043441,True
Nothing(2),4122,4901,780,0.32,255,250,4372,4651,280,-0.0026441785714285716,0.0036814937804447185,0.91967,0.40030595544540093,True
Nothing(2),5137,5885,749,0.32,255,240,5377,5645,269,0.9136654275092937,0.002726246446298802,0.91967,0.2964374662975635,True
Nothing(2),6121,6901,781,0.32,255,250,6371,6651,281,-0.0030145551601423494,0.003465866295229921,0.91967,0.3768597752704689,True
Nothing(2),7137,7885,749,0.32,255,240,7377,7645,269,0.9139256505576209,0.0026091922830584397,0.91967,0.28370962226216356,True
Nothing(2),8121,8901,781,0.32,255,250,8371,8651,281,-0.0025160854092526694,0.0036098689598051785,0.91967,0.3925178552964845,True
Nothing(2),9137,9885,749,0.32,255,240,9377,9645,269,0.9141858736059479,0.0028433650967677696,0.91967,0.3091723223295062,True
Nothing(2),9978,9999,22,0.32,255,7,9985,9992,8,0.39749999999999996,0.01750918126502288,0.91967,1.9038547810652604,True
Scratch0(1),0,133,134,0.32,255,43,43,90,48,0.010361041666666666,0.0005276493015829669,0.0093,5.673648404117924,True
Scratch0(1),800,1005,206,0.32,255,66,866,939,74,0.0030806756756756753,0.000347442046339538,0.0093,3.73593598214557,True
Scratch0(1),1797,1982,186,0.32,255,60,1857,1922,66,0.01246818181818182,0.0004151585761569224,0.0093,4.464070711364757,True
Scratch0(1),2807,3013,207,0.32,255,66,2873,2947,75,0.0030665333333333334,0.0004175167688276152,0.0093,4.489427621802315,True
Scratch0(1),3788,3973,186,0.32,255,60,3848,3913,66,0.012393939393939395,0.00032099786142531666,0.0093,3.451589907799104,True
