ratio,mean_std
0.00,1.110839e-02
0.01,1.026358e-02
0.02,9.507444e-03
0.03,8.940548e-03
0.04,8.331217e-03
0.05,7.826242e-03
0.06,7.343915e-03
0.07,6.980941e-03
0.08,6.677034e-03
0.09,6.396522e-03
0.10,6.139410e-03
0.11,5.893881e-03
0.12,5.674188e-03
0.13,5.506766e-03
0.14,5.328117e-03
0.15,5.138354e-03
0.16,4.956631e-03
0.17,4.801621e-03
0.18,4.671637e-03
0.19,4.540446e-03
0.20,4.415344e-03
0.21,4.294587e-03
0.22,4.183349e-03
0.23,4.082400e-03
0.24,3.988870e-03
0.25,3.911194e-03
0.26,3.835500e-03
0.27,3.744694e-03
0.28,3.651012e-03
0.29,3.559528e-03
0.30,3.456239e-03
0.31,3.365970e-03
0.32,3.267583e-03
0.33,3.184299e-03
0.34,3.114555e-03
0.35,3.062812e-03
0.36,3.014429e-03
0.37,2.972807e-03
0.38,2.946850e-03
0.39,2.937240e-03
0.40,2.926957e-03
0.41,2.923852e-03
0.42,2.912707e-03
0.43,2.886170e-03
0.44,2.883842e-03
0.45,2.888433e-03
